,score_home,score_away,spread_favorite,spread_covered,over_under_line,over_under_result,home_team_fav,home_win%,home_team_ppg,home_team_oppg,home_p_diff,away_win%,away_team_ppg,away_team_oppg,away_p_diff,home_win_exp,away_win_exp
1169,30,23,-11.0,0,33.0,1,1,0.5329999999999999,19.13,16.33,2.8,0.267,16.8,21.6,-4.8,0.7,0.202
1170,24,29,-9.5,0,33.0,1,1,0.6,24.73,17.0,7.73,0.9329999999999999,22.87,15.13,7.74,0.891,0.905
1171,18,21,-7.0,0,46.0,0,1,0.467,22.47,21.2,1.27,0.467,21.8,25.8,-4.0,0.582,0.274
1172,14,31,-3.0,0,34.0,1,1,0.33299999999999996,14.47,20.0,-5.53,0.6,26.2,24.4,1.8,0.152,0.603
1173,33,14,-10.0,1,44.0,1,1,0.6,23.2,19.33,3.87,0.8,33.87,21.2,12.67,0.736,0.944
1174,14,22,-10.0,0,41.0,0,1,0.467,19.67,21.13,-1.46,0.2,16.93,25.07,-8.14,0.402,0.1
1175,21,7,-13.0,1,37.0,0,1,0.867,27.73,16.87,10.86,0.133,16.8,28.73,-11.93,0.944,0.044
1176,28,24,-1.0,1,38.5,1,1,0.33299999999999996,18.33,21.53,-3.2,0.4,17.93,25.13,-7.2,0.291,0.13
1177,6,13,-2.5,1,43.0,0,0,0.33299999999999996,20.93,28.6,-7.67,0.5329999999999999,16.53,18.27,-1.74,0.139,0.37
1178,10,38,-4.0,1,37.5,1,0,0.867,25.07,14.8,10.27,0.467,22.4,24.13,-1.73,0.949,0.394
1179,24,17,-6.5,0,51.5,0,0,0.733,28.13,19.73,8.4,0.467,31.07,27.4,3.67,0.887,0.683
1180,28,26,-5.5,0,41.0,1,1,0.5329999999999999,22.87,23.13,-0.26,0.733,20.93,20.6,0.33,0.484,0.522
1181,32,29,-3.5,0,46.0,1,0,0.467,19.13,24.2,-5.07,0.667,20.27,15.27,5.0,0.209,0.82
1182,24,19,-2.5,0,45.5,0,0,0.267,21.33,28.0,-6.67,0.4,18.47,21.73,-3.26,0.169,0.289
1183,21,18,-4.0,0,41.0,0,0,0.33299999999999996,14.6,16.47,-1.87,0.5329999999999999,25.8,24.93,0.87,0.35,0.55
1184,12,17,-1.0,1,44.0,0,0,0.0,19.0,42.0,-23.0,0.0,25.0,28.0,-3.0,0.007,0.337
1185,27,17,-3.0,0,44.0,0,0,0.0,20.0,23.0,-3.0,1.0,30.0,20.0,10.0,0.312,0.915
1186,38,6,-2.5,0,34.0,1,0,0.0,7.0,9.0,-2.0,1.0,17.0,3.0,14.0,0.26,1.0
1187,37,8,-3.0,1,47.0,0,1,1.0,27.0,13.0,14.0,0.0,13.0,24.0,-11.0,0.983,0.035
1188,20,17,-3.0,1,44.0,0,1,0.0,10.0,34.0,-24.0,0.0,24.0,28.0,-4.0,0.001,0.286
1189,24,26,-7.0,0,43.0,1,1,0.0,3.0,17.0,-14.0,0.0,13.0,27.0,-14.0,0.0,0.017
1190,7,27,-4.5,1,39.5,0,0,0.0,7.0,22.0,-15.0,1.0,34.0,7.0,27.0,0.003,1.0
1191,10,3,-9.0,0,46.0,0,1,1.0,24.0,7.0,17.0,1.0,26.0,14.0,12.0,0.998,0.968
1192,17,7,-6.0,1,37.0,0,1,0.0,7.0,27.0,-20.0,1.0,34.0,10.0,24.0,0.001,0.999
1193,17,23,-1.5,1,53.0,0,0,0.0,20.0,30.0,-10.0,1.0,27.0,7.0,20.0,0.085,0.999
1194,42,3,-11.5,1,43.0,1,1,0.0,10.0,14.0,-4.0,1.0,28.0,25.0,3.0,0.167,0.663
1195,21,18,-1.0,1,41.5,0,1,0.0,14.0,26.0,-12.0,1.0,14.0,10.0,4.0,0.032,0.833
1196,19,3,-2.5,1,35.0,0,1,1.0,24.0,13.0,11.0,1.0,22.0,7.0,15.0,0.965,0.997
1197,25,10,-3.5,0,36.0,0,0,0.0,7.0,34.0,-27.0,0.0,7.0,24.0,-17.0,0.0,0.002
1198,13,14,-6.0,0,36.0,0,1,1.0,28.0,24.0,4.0,1.0,9.0,7.0,2.0,0.714,0.74
1199,27,10,-3.0,1,43.0,0,1,1.0,42.0,19.0,23.0,1.0,23.0,20.0,3.0,0.993,0.688
1200,16,24,-3.0,0,36.0,1,1,0.5,12.5,13.0,-0.5,0.5,16.0,15.5,0.5,0.453,0.541
1201,7,24,-3.0,1,39.0,0,0,0.5,22.5,7.5,15.0,1.0,32.0,10.5,21.5,0.996,0.998
1202,16,17,-3.0,0,38.0,0,0,0.0,13.5,21.5,-8.0,1.0,21.5,8.0,13.5,0.077,0.993
1203,13,6,-13.5,0,47.0,0,1,1.0,17.0,5.0,12.0,0.5,19.5,25.5,-6.0,0.997,0.178
1204,27,24,-3.5,0,37.5,1,0,0.5,20.5,13.5,7.0,0.5,23.5,20.0,3.5,0.901,0.714
1205,33,16,-3.5,1,44.5,1,1,0.0,10.5,30.5,-20.0,0.5,16.5,23.5,-7.0,0.003,0.124
1206,20,26,-2.5,0,34.5,1,1,0.5,12.0,17.0,-5.0,0.5,14.5,12.0,2.5,0.147,0.717
1207,23,20,-8.5,0,47.0,0,1,0.5,26.0,8.5,17.5,0.0,18.5,26.5,-8.0,0.997,0.114
1208,20,23,-3.0,0,41.5,1,1,1.0,30.5,7.0,23.5,0.5,23.5,23.5,0.0,1.0,0.5
1209,45,23,-5.5,1,42.5,1,1,0.0,20.5,24.0,-3.5,1.0,34.5,14.5,20.0,0.29,0.994
1210,31,34,-6.5,0,41.0,1,0,0.5,15.5,33.5,-18.0,0.5,20.5,19.0,1.5,0.011,0.603
1211,37,12,-6.5,1,42.0,1,1,0.5,17.5,22.0,-4.5,0.0,15.5,29.5,-14.0,0.221,0.025
1212,31,27,-6.5,0,46.0,1,1,0.5,21.0,20.0,1.0,0.5,16.0,22.0,-6.0,0.568,0.15
1213,30,10,-2.5,1,49.0,0,1,0.5,15.0,25.5,-10.5,1.0,25.0,12.0,13.0,0.05,0.982
1214,31,14,-3.0,1,42.0,1,1,0.0,14.33,32.0,-17.67,0.33299999999999996,20.67,33.67,-13.0,0.01,0.051
1215,30,10,-6.0,1,44.5,0,1,0.667,18.67,15.67,3.0,0.33299999999999996,18.0,25.67,-7.67,0.717,0.118
1216,13,3,-7.5,1,31.5,0,1,0.0,8.5,24.5,-16.0,0.33299999999999996,14.67,20.0,-5.33,0.004,0.161
1217,16,10,-9.5,0,41.5,0,1,1.0,29.33,9.33,20.0,0.0,7.0,24.5,-17.5,0.998,0.002
1218,7,20,-4.0,0,37.5,0,1,0.667,18.33,14.67,3.66,0.667,20.0,20.33,-0.33,0.763,0.477
1219,31,37,-2.5,0,46.5,1,1,0.667,20.0,18.0,2.0,0.667,25.0,12.33,12.67,0.64,0.979
1220,17,41,-5.5,0,47.0,1,1,0.667,23.33,22.33,1.0,0.33299999999999996,28.67,23.67,5.0,0.562,0.757
1221,19,7,-1.0,0,38.5,0,0,0.33299999999999996,16.33,26.67,-10.34,0.33299999999999996,13.67,16.67,-3.0,0.059,0.266
1222,44,24,-3.0,1,46.0,1,1,0.667,30.67,24.67,6.0,0.667,24.33,22.33,2.0,0.788,0.621
1223,19,13,-3.0,1,46.0,0,1,0.0,19.0,25.33,-6.33,0.667,25.0,23.0,2.0,0.163,0.619
1224,17,13,-6.5,0,35.0,0,1,1.0,20.0,10.67,9.33,0.5,11.5,20.5,-9.0,0.962,0.047
1225,10,31,-7.0,1,45.0,0,0,0.33299999999999996,19.67,25.0,-5.33,1.0,15.67,5.33,10.34,0.203,0.993
1226,20,17,-2.0,1,37.0,0,1,1.0,11.5,10.0,1.5,0.667,24.0,18.67,5.33,0.655,0.804
1227,32,29,-3.0,1,43.0,1,1,0.33299999999999996,23.67,22.33,1.34,0.0,14.33,20.0,-5.67,0.583,0.146
1228,20,24,-3.0,1,42.0,1,0,0.25,18.5,27.5,-9.0,0.5,25.75,24.0,1.75,0.093,0.602
1229,28,31,-2.5,0,43.5,1,1,0.75,21.5,14.25,7.25,0.5,21.75,27.0,-5.25,0.901,0.221
1230,20,14,-2.5,1,33.0,1,1,0.25,12.0,17.25,-5.25,0.667,22.67,17.0,5.67,0.137,0.83
1231,20,10,-3.0,1,35.0,0,1,0.33299999999999996,15.0,21.33,-6.33,0.33299999999999996,17.33,13.0,4.33,0.13,0.813
1232,33,10,-3.5,0,44.0,0,0,0.5,22.0,22.0,0.0,0.75,28.0,17.0,11.0,0.5,0.945
1233,21,19,-7.0,0,34.5,1,1,0.75,20.0,17.0,3.0,1.0,14.33,12.33,2.0,0.707,0.677
1234,35,17,-2.0,1,33.0,1,1,0.33299999999999996,12.0,19.33,-7.33,0.33299999999999996,10.0,17.33,-7.33,0.078,0.061
1235,52,3,-3.0,1,41.0,1,1,0.0,18.0,23.0,-5.0,0.5,17.0,21.75,-4.75,0.203,0.206
1236,20,34,-1.5,0,40.5,1,1,0.0,8.0,21.67,-13.67,0.25,17.25,26.5,-9.25,0.006,0.081
1237,23,20,-3.0,1,38.0,1,1,0.5,15.5,16.0,-0.5,1.0,26.0,9.5,16.5,0.459,0.995
1238,14,12,-3.5,0,32.0,0,0,0.25,11.75,18.25,-6.5,1.0,19.25,11.25,8.0,0.096,0.94
1239,3,28,-14.0,1,47.0,0,0,0.25,19.0,33.0,-14.0,1.0,19.5,6.5,13.0,0.037,0.995
1240,31,37,-3.0,0,48.0,1,1,0.5,24.25,27.75,-3.5,0.5,22.25,19.0,3.25,0.31,0.707
1241,22,24,-3.0,0,45.5,1,1,0.5,31.75,22.0,9.75,0.667,27.0,12.33,14.67,0.9,0.987
1242,16,3,-4.0,1,33.5,0,1,0.25,11.75,21.75,-10.0,0.5,16.25,18.5,-2.25,0.038,0.334
1243,27,17,-3.0,1,33.0,1,1,0.4,13.6,16.6,-3.0,0.4,12.2,17.0,-4.8,0.265,0.157
